Kernel,Dataset,Time(s)
SEQUENTIAL,MINI_DATASET,0.000006
SEQUENTIAL,SMALL_DATASET,0.001295
SEQUENTIAL,STANDARD_DATASET,0.083613
SEQUENTIAL,LARGE_DATASET,0.362464
SEQUENTIAL,EXTRALARGE_DATASET,0.590156
PARALLEL,MINI_DATASET,0.000014
PARALLEL,SMALL_DATASET,0.000967
PARALLEL,STANDARD_DATASET,0.148902
PARALLEL,LARGE_DATASET,1.290723
PARALLEL,EXTRALARGE_DATASET,2.727641
PARALLEL_NORACE,MINI_DATASET,0.000016
PARALLEL_NORACE,SMALL_DATASET,0.000576
PARALLEL_NORACE,STANDARD_DATASET,0.045145
PARALLEL_NORACE,LARGE_DATASET,0.189039
PARALLEL_NORACE,EXTRALARGE_DATASET,0.305742
REDUCTION,MINI_DATASET,0.000014
REDUCTION,SMALL_DATASET,0.000751
REDUCTION,STANDARD_DATASET,0.044931
REDUCTION,LARGE_DATASET,0.189153
REDUCTION,EXTRALARGE_DATASET,0.304756
COLLAPSE,MINI_DATASET,0.000015
COLLAPSE,SMALL_DATASET,0.000679
COLLAPSE,STANDARD_DATASET,0.048600
COLLAPSE,LARGE_DATASET,0.207218
COLLAPSE,EXTRALARGE_DATASET,0.327411
OPTIMIZED,MINI_DATASET,0.000010
OPTIMIZED,SMALL_DATASET,0.000545
OPTIMIZED,STANDARD_DATASET,0.044402
OPTIMIZED,LARGE_DATASET,0.189640
OPTIMIZED,EXTRALARGE_DATASET,0.298198
OPTIMIZED_TILING,MINI_DATASET,0.000010
OPTIMIZED_TILING,SMALL_DATASET,0.000538
OPTIMIZED_TILING,STANDARD_DATASET,0.044060
OPTIMIZED_TILING,LARGE_DATASET,0.185121
OPTIMIZED_TILING,EXTRALARGE_DATASET,0.294084
TARGET,MINI_DATASET,0.001069
TARGET,SMALL_DATASET,0.002083
TARGET,STANDARD_DATASET,0.155495
TARGET,LARGE_DATASET,1.170816
TARGET,EXTRALARGE_DATASET,2.591277

Kernel,Average_Time(s)
COLLAPSE,0.116785
OPTIMIZED,0.106559
OPTIMIZED_TILING,0.104763
PARALLEL,0.833649
PARALLEL_NORACE,0.108104
REDUCTION,0.107921
SEQUENTIAL,0.207507
TARGET,0.784148
