Kernel,Dataset,Time(s)
SEQUENTIAL,MINI_DATASET,0.000008
SEQUENTIAL,SMALL_DATASET,0.001367
SEQUENTIAL,STANDARD_DATASET,0.086664
SEQUENTIAL,LARGE_DATASET,0.371139
SEQUENTIAL,EXTRALARGE_DATASET,0.604457
PARALLEL,MINI_DATASET,0.000022
PARALLEL,SMALL_DATASET,0.001126
PARALLEL,STANDARD_DATASET,0.149720
PARALLEL,LARGE_DATASET,1.177409
PARALLEL,EXTRALARGE_DATASET,2.594362
PARALLEL_NORACE,MINI_DATASET,0.000045
PARALLEL_NORACE,SMALL_DATASET,0.000607
PARALLEL_NORACE,STANDARD_DATASET,0.046261
PARALLEL_NORACE,LARGE_DATASET,0.194087
PARALLEL_NORACE,EXTRALARGE_DATASET,0.307341
REDUCTION,MINI_DATASET,0.000027
REDUCTION,SMALL_DATASET,0.000603
REDUCTION,STANDARD_DATASET,0.046328
REDUCTION,LARGE_DATASET,0.193676
REDUCTION,EXTRALARGE_DATASET,0.311518
COLLAPSE,MINI_DATASET,0.000037
COLLAPSE,SMALL_DATASET,0.001079
COLLAPSE,STANDARD_DATASET,0.069293
COLLAPSE,LARGE_DATASET,0.291970
COLLAPSE,EXTRALARGE_DATASET,0.470931
OPTIMIZED,MINI_DATASET,0.000027
OPTIMIZED,SMALL_DATASET,0.000735
OPTIMIZED,STANDARD_DATASET,0.053462
OPTIMIZED,LARGE_DATASET,0.314104
OPTIMIZED,EXTRALARGE_DATASET,0.359251
OPTIMIZED_TILING,MINI_DATASET,0.000025
OPTIMIZED_TILING,SMALL_DATASET,0.000569
OPTIMIZED_TILING,STANDARD_DATASET,0.039763
OPTIMIZED_TILING,LARGE_DATASET,0.168880
OPTIMIZED_TILING,EXTRALARGE_DATASET,0.264923
TARGET,MINI_DATASET,0.160815
TARGET,SMALL_DATASET,0.143772
TARGET,STANDARD_DATASET,0.356764
TARGET,LARGE_DATASET,1.043434
TARGET,EXTRALARGE_DATASET,1.540068

Kernel,Average_Time(s)
COLLAPSE,0.166662
OPTIMIZED,0.145516
OPTIMIZED_TILING,0.094832
PARALLEL,0.784528
PARALLEL_NORACE,0.109668
REDUCTION,0.11043
SEQUENTIAL,0.212727
TARGET,0.648971
